122 0.001875 1.000019 1.000024 2.500024 
123 0.001875 1.000016 1.000020 2.500020 
124 0.001875 1.000013 1.000017 2.500017 
125 0.001875 1.000011 1.000014 2.500014 
126 0.001875 1.000009 1.000011 2.500011 
127 0.001875 1.000007 1.000009 2.500009 
128 0.001875 1.000006 1.000007 2.500008 
129 0.001875 1.000005 1.000006 2.500006 
130 0.001875 1.000004 1.000004 2.500005 
131 0.001875 1.000003 1.000004 2.500004 
132 0.001875 1.000002 1.000003 2.500003 
133 0.001875 1.000002 1.000002 2.500002 
134 0.001875 1.000001 1.000002 2.500002 
135 0.001875 1.000001 1.000001 2.500001 
136 0.001875 1.000001 1.000001 2.500001 
137 0.001875 1.000001 1.000001 2.500001 
138 0.001875 1.000000 1.000000 2.500001 
139 0.001875 1.000000 1.000000 2.500000 
140 0.001875 1.000000 1.000000 2.500000 
141 0.001875 1.000000 1.000000 2.500000 
142 0.001875 1.000000 1.000000 2.500000 
143 0.001875 1.000000 1.000000 2.500000 
144 0.001875 1.000000 1.000000 2.500000 
145 0.001875 1.000000 1.000000 2.500000 
146 0.001875 1.000000 1.000000 2.500000 
147 0.001875 1.000000 1.000000 2.500000 
148 0.001875 1.000000 1.000000 2.500000 
149 0.001875 1.000000 1.000000 2.500000 
150 0.001875 1.000000 1.000000 2.500000 
151 0.001875 1.000000 1.000000 2.500000 
152 0.001875 1.000000 1.000000 2.500000 
153 0.001875 1.000000 1.000000 2.500000 
154 0.001875 1.000000 1.000000 2.500000 
155 0.001875 1.000000 1.000000 2.500000 
156 0.001875 1.000000 1.000000 2.500000 
157 0.001875 1.000000 1.000000 2.500000 
158 0.001875 1.000000 1.000000 2.500000 
159 0.001875 1.000000 1.000000 2.500000 
160 0.001875 1.000000 1.000000 2.500000 
161 0.001875 1.000000 1.000000 2.500000 
162 0.001875 1.000000 1.000000 2.500000 
163 0.001875 1.000000 1.000000 2.500000 
164 0.001875 1.000000 1.000000 2.500000 
165 0.001875 1.000000 1.000000 2.500000 
166 0.001875 1.000000 1.000000 2.500000 
167 0.001875 1.000000 1.000000 2.500000 
168 0.001875 1.000000 1.000000 2.500000 
169 0.001875 1.000000 1.000000 2.500000 
170 0.001875 1.000000 1.000000 2.500000 
171 0.001875 1.000000 1.000000 2.500000 
172 0.001875 1.000000 1.000000 2.500000 
173 0.001875 1.000000 1.000000 2.500000 
174 0.001875 1.000000 1.000000 2.500000 
175 0.001875 1.000000 1.000000 2.500000 
176 0.001875 1.000000 1.000000 2.500000 
177 0.001875 1.000000 1.000000 2.500000 
178 0.001875 1.000000 1.000000 2.500000 
179 0.001875 1.000000 1.000000 2.500000 
180 0.001875 1.000000 1.000000 2.500000 
181 0.001875 1.000000 1.000000 2.500000 
182 0.001875 1.000000 1.000000 2.500000 
183 0.001875 1.000000 1.000000 2.500001 
184 0.001875 1.000000 1.000001 2.500001 
185 0.001875 1.000001 1.000001 2.500001 
186 0.001875 1.000001 1.000001 2.500001 
187 0.001875 1.000001 1.000001 2.500002 
188 0.001875 1.000001 1.000002 2.500002 
189 0.001875 1.000002 1.000002 2.500003 
190 0.001875 1.000002 1.000003 2.500003 
