400
205 -0.217502 -0.000208
206 -0.215628 -0.000233
207 -0.213753 -0.000259
208 -0.211879 -0.000287
209 -0.210004 -0.000317
210 -0.208130 -0.000349
211 -0.206255 -0.000382
212 -0.204381 -0.000417
213 -0.202506 -0.000454
214 -0.200632 -0.000491
215 -0.198758 -0.000529
216 -0.196884 -0.000568
217 -0.195010 -0.000607
218 -0.193136 -0.000645
219 -0.191262 -0.000681
220 -0.189388 -0.000715
221 -0.187514 -0.000746
222 -0.185640 -0.000772
223 -0.183766 -0.000793
224 -0.181893 -0.000808
225 -0.180019 -0.000814
226 -0.178145 -0.000808
227 -0.176271 -0.000786
228 -0.174397 -0.000738
229 -0.172523 -0.000655
230 -0.170649 -0.000522
231 -0.168774 -0.000320
232 -0.166898 -0.000034
233 -0.165022 0.000350
234 -0.163145 0.000850
235 -0.161267 0.001486
236 -0.159387 0.002273
237 -0.157506 0.003235
238 -0.155622 0.004400
239 -0.153736 0.005800
240 -0.151847 0.007474
241 -0.149954 0.009465
242 -0.148056 0.011820
243 -0.146153 0.014578
244 -0.144244 0.017769
245 -0.142329 0.021412
246 -0.140407 0.025514
247 -0.138477 0.030068
248 -0.136540 0.035064
249 -0.134593 0.040511
250 -0.132637 0.046416
251 -0.130668 0.052801
252 -0.128686 0.059716
253 -0.126689 0.067215
254 -0.124675 0.075355
255 -0.122643 0.084183
256 -0.120593 0.093719
257 -0.118525 0.103983
258 -0.116437 0.114926
259 -0.114332 0.126463
260 -0.112207 0.138510
261 -0.110061 0.150913
262 -0.107893 0.163567
263 -0.105700 0.176400
264 -0.103479 0.189395
265 -0.101229 0.202601
266 -0.098948 0.216110
267 -0.096635 0.230031
268 -0.094288 0.244558
269 -0.091909 0.259780
270 -0.089497 0.275792
271 -0.087053 0.292524
272 -0.084575 0.309843
273 -0.082064 0.327508
274 -0.079517 0.345249
275 -0.076934 0.362817
276 -0.074312 0.380149
277 -0.071651 0.397078
278 -0.068946 0.413815
279 -0.066195 0.430515
280 -0.063395 0.447378
281 -0.060536 0.464810
282 -0.057628 0.482837
283 -0.054660 0.501838
284 -0.051640 0.521644
285 -0.048571 0.542291
286 -0.045453 0.563419
287 -0.042291 0.584426
288 -0.039086 0.604439
289 -0.035839 0.622511
290 -0.032547 0.638092
291 -0.029206 0.650895
292 -0.025801 0.661655
293 -0.022343 0.671273
294 -0.018833 0.680443
